X:-4.93055 Y:0.878546 Z:8.28284
X:-3.97975 Y:1.38775 Z:7.63819
X:-4.40086 Y:1.54656 Z:9.0228
X:-4.84689 Y:2.98889 Z:10.9912
X:-4.75144 Y:1.93295 Z:8.50885
X:-4.1418 Y:1.70186 Z:7.69002
X:-3.61719 Y:1.69116 Z:8.64547
X:-11.3687 Y:2.56129 Z:17.4035
X:-10.9894 Y:2.38667 Z:17.2493
X:-1.62687 Y:0.35077 Z:2.64795
X:-4.99478 Y:1.1793 Z:7.97328
X:-4.78237 Y:2.14091 Z:8.64293
X:-8.89774 Y:4.03319 Z:15.5025
X:-4.13014 Y:1.81011 Z:7.03674
X:-2.47523 Y:0.988022 Z:4.19998
X:-4.56672 Y:2.079 Z:8.1516
X:-3.48552 Y:1.43831 Z:6.02035
X:-4.22928 Y:1.84307 Z:7.31103
X:-2.28794 Y:1.17505 Z:3.90059
X:-4.57846 Y:2.13876 Z:8.15152
X:-3.86668 Y:1.3852 Z:7.2438
